SKU (do not edit),Product Name (do not edit),Category (do not edit),Machine Tier [EDIT: trade / professional / industrial],List Price RM [EDIT — REQUIRED],Diameter [EDIT — e.g. 230mm or 9″],Arbor Size [EDIT — e.g. 22.23mm or M14],Segment Height [EDIT — e.g. 10mm],Bond Type [EDIT: soft / medium / hard / extraHard],Max RPM [EDIT — e.g. 6650],YouTube URL [EDIT — full https:// link],Notes for me [optional — anything you want flagged]
M12_DROP_IN_ANCHOR,M12 Drop In Anchor,Accessories & Parts,Trade,0,,,,,,,
M16_CROWN_ANCHOR_ROD,M16 Crown Anchor Rod,Accessories & Parts,Trade,0,,,,,,,
QUICK_RELEASE_SPACER,Quick Release Spacer,Accessories & Parts,Trade,0,,,,,,,
SD3_ADAPTOR,SD3 Adaptor,Accessories & Parts,Trade,0,,,,,,,
SD3_TUBE,SD3 Tube,Accessories & Parts,Trade,0,,,,,,,
SETTING_TOOL_M12,Setting Tool M12,Accessories & Parts,Trade,0,,,,,,,
SETTING_TOOL_M16,Setting Tool M16,Accessories & Parts,Trade,0,,,,,,,
SPINDLE_ADAPTOR,Spindle Adaptor,Accessories & Parts,Trade,0,,,,,,,
VACUUM_PAD,Vacuum Pad,Accessories & Parts,Trade,0,,,,,,,
VACUUM_PUMP_V300,Vacuum Pump V300,Accessories & Parts,Trade,0,,,,,,,
WATER_COLLECTION_RING_WCR,Water Collection Ring WCR,Accessories & Parts,Trade,0,,,,,,,
WATER_COLLECTION_SYSTEM,Water Collection System,Accessories & Parts,Trade,0,,,,,,,
WATER_TANK,Water Tank,Accessories & Parts,Trade,0,,,,,,,
